SpeciesName,AntherSize,CalyxSize,CorollaSize,DiskFloretSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,LobesSize,Lodicules,OvarySize,Palea,PappusSize,PedicelSize,PetalSize,PetioleSize,RayFloretsSize,SeedSize,SepalSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize,UtricleSize
selliera-radicans,,,4-11x8-16mm,,,3.0-6.1x2.1-10.0mm,,,3-50x1-10mm; 4-45mm; 1.0-2.6x0.7-1.3mm,,1.2-1.6x0.7-1.2mm,,1.4-1.9mm,,,1-24mm,3-8x1.5-2.4mm,4-40mm,,1.0-1.8mm; 0.1-0.3mm,,,1m,,,,
selliera-rotundifolia,,,7-8x8-9mm,,,2-3x2-3mm,,,3-7x3-5mm,,,,1.4-1.6mm,,,3-9mm,3-4x1.5-2mm,3-7x0.5-1mm,,1.5x1mm,1-1.4x0.7-0.9mm,,700mm,,,,
griselinia-littoralis,,,,,,,,,,,,,,,,,,,,,,,,,,,
griselinia-lucida,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunnera-densiflora,,,,,,2.8-3.2mm,,0.9-2.5x0.4-1.2mm; 30mm,10-46x15-38mm; 0.8-1.8mm,,0-2m,,0.2-0.4x0.1-0.2mm,,,,,10-30x1.5-2.4mm,,1.3-2.6mm,0.1-0.2x0.01-0.1mm,0.2-0.9mm,70mm; 30mm,,1.0-3.2mm,,
gunnera-dentata,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunnera-hamiltonii,,,,,,3mm,,35mm,25mm; 1.4mm,,0.1mm,,0.2mm,,,,,4mm,,2.9mm,0.3mm,,30mm,,1.5mm,,
gunnera-monoica,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunnera-prorepens,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonocarpus-aggregatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonocarpus-micranthus,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonocarpus-montanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
haloragis-erecta,,,,,,,,,,,,,,,,,,,,,,,,,,,
myriophyllum-pedunculatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
myriophyllum-propinquum,1.7-2.4x0.4-0.5mm; 0.2mm,,,,,4m,,,10-20x10-16mm; 5-6mm; 5-7x0.5-1.0mm; 4-5x1.5-3.5mm; 1.5mm,,,,0.7-0.8mm,,,,1.8-2.7x1.4mm,1-2mm,,0.8-1.1mm; 0.4-0.5mm,0.4-0.6x0.3-0.4mm,1-2mm,100-250mm,,0.2-0.3mm; 0.7mm,,
myriophyllum-robustum,,,,,,1.5-2x2-2.5mm,,,20-35x6-10mm,,,,,,,,2.5-4x1-1.5mm,,,,0.6-0.8x0.5-0.6mm,,1.5m; 300mm,,,,
myriophyllum-triphyllum,1.8-2.4x0.4mm; 0.3mm,,,,,1.3-1.4-1.5x1.4-1.5mm; 4m,,5-6x2.0-2.5mm,,,,,0.7mmx0.6mm; 1.0mmx0.8mm,,,,2.0-2.8x2.0mm; 0.5mm,0.1-0.2mm; 10-15mm; 7-10mm; 8mm,,1.4mmx0.8mm,0.5-0.6mm; 0.4-0.5mm; 0.2mmx0.2mm,0.1mm,,,0.2mm; 0.5mm,,
myriophyllum-votschii,1.2-1.3x0.4mm,,,,,0.9-1.0x1.1-1.4mm,,,1.8-3.5x0.7-1.1mm; 2.0x0.2mm,,,,0.8x0.6-0.8mm,,,,1.5-1.8x0.7-1.0mm,,,,,0.2-0.3mm; 0.8-11.0mm,70mm; 100mm,,,,
dianella-haematica,,,,,10-11mm,8-20x7-10mm,,1-2m; 400-700mm,1-2m; 18-25mm,,,,1.3mm,,,9-20mm,4.1-4.2x2.9-3.0mm,,,1.8-2.5x2.3-3.2mm,4.8-5.5x1.9-2.0mm,1.2-1.4mm,,,1.4-1.5mm,,
dianella-latissima,0.4mm,,,,9-11mm,8-20x7-10mm,,1.0-1.5m; 500-800mm,0.5-1.2m; 15-35mm,,,,1.4-1.6x1.1-1.3mm,,,10-17mm,,,,1.8-2.1x2.3-3.0mm,4.4-4.5x1.6-1.7mm,,,,2.0-2.2mm,,
dianella-nigra,0.4mm; 0.6mm,,,,9-11mm,8-20x7-10mm,,1m; 300-500mm,250-800x12-18mm; 2-4mm,,,,1.4-1.6x1.1-1.3mm,,,10-17mm,3.5-4.0x2.3-3.4mm,,,1.8-2.1x2.3-3.0mm,4.4-4.5x1.6-1.7mm,1.3-1.4mm,,,1.7-2.1mm,,
phormium-cookianum,,,,,,,,,,,,,,,,,,,,,,,,,,,
phormium-tenax,,,,,25-50mm,50-100mm,,,1-3x50-120mm,,,,,,,,,,,9-10x4-5mm,,,1-5m; 5m,,,,
trithuria-inconspicua,0.8-1.4mm,,,,,0.4-0.56x0.2-0.4mm,,,15-55x0.25-0.4mm,,,,,,,,,,,,,1-5mm,15-55mm,,,,
hypericum-involutum,0.25-0.3mm,,17.0mm,,,5.0-9.5x3.2-4.5mm,,,2.5-20.0x0.7-6.8mm,,,,3.0-3.5x1.5-2.5mm,,,4.0-40.0mm,8.0mm; 4.5mm,,,0.6-0.85x0.25-0.4mm,3.0-7.0x1.0-2.5mm,3.3-4.5mm,,,1.0-1.8mm,,
hypericum-minutiflorum,0.2mm,,,,3-6mm,2.3-2.9x1.5-2.5mm,,,1.5-4.5x0.3-1.2mm,,,,1.4-2.0mm,,,0.7-1.8mm,2.0-3.3x0.9-1.2mm,,,0.5-0.6x0.2-0.3mm,1.7-2.8x0.6-1.0mm,1.2-2.0mm,,,0.3-0.4mm,,
hypericum-pusillum,0.2-0.3mm,,,,9mm,2.8-4.5x2.2-3.8mm,,,2.5-9.0x1.5-3.5mm,,,,1.3x1.0-1.1mm,,,3.7-3.8x0.3-0.4mm,2.8-4.0x1.7-2.5mm,,,0.30mm,2.8-4.7x0.9-1.4mm,2.1x0.1mm,,0.2mm,0.3-0.5mm,,
hypericum-rubicundulum,,,,,,,,,,,,,,,,,,,,,,,,,,,
libertia-cranwelliae,3mm,,,,,20mm,,,150-900mmx5-11mm,,,,20-35mm,,,5-16mm,,,,1.5x1.5mm,,,,,,,
libertia-edgariae,2-3mm,,,,10-20mm,5-9mm; 3-6mm,,15-120mm,120-620x1-9mm,,,,,,,10-35mm,,,,1.0x1.5mm,,,,,,,
libertia-flaccidifolia,,,,,12-15mm,,,400-720mm,500-960x7-14mm,,,,,,,10-20mm,,,,,,,,,,,
libertia-grandiflora,3mm,,,,,6-14mm; 4-8mm,,40-130mm,100-1400x2-12mm,,,,10-30mm,,,10-50mm,,,,1.0-2.0x1.0-1.5mm,,,,,,,
libertia-ixioides,2mm,,,,,7-25mm; 5-14mm,,,150-1160x3-12mm,,,,8-25mm,,,10-28mm,,,,1.0-2.0x1.0-1.5mm,,,,,,,
libertia-micrantha,1.5mm,,,,5-15mm,2-3x2-5mm,,,30-220x1-5mm,,,,,,,13-35mm,,,,0.75-1.0x1.0-1.2mm,,,,,,,
libertia-mooreae,2-3mm,,,,10-20mm,5-8mm; 3-5mm,,140-560mm,100-400x1-4mm,,,,,,,10-35mm,,,,1.0x1.0-1.5mm,,,,,,,
libertia-peregrinans,3.0-3.5mm,,,,10-30mm,6-15mm; 4-10mm,,40-170mm,130-700x3-9mm,,,,,,,14-40mm,,,,1.0-1.5mm,,,,,,,
juncus-antarcticus,,,,,3mm,,,3-10mm,15-70x1mm,,,,,,,,,,,,,,,,,,
juncus-australis,,,,,15mm; 2.2-3.0mm,2.3-3.0mm,,,,,,,,,,,,,,,,,0.6-1.2m; 1.5-4.0mm,,,,
juncus-caespiticius,,,,,3mm,,,,,,,,,,,,,,,,,,,,,,
juncus-distegus,,,,,2.3-3.0mm,2.5-3.0mm,,10mm,,,,,,,,,,,,,,,,,,,
juncus-edgariae,0.4-0.6mm,,,,1.5-2.0mm,1.5-2.3mm,,10mm,,,,,,,,,1.7-2.6mm,,,0.4-0.6mm,,,0.6-2.5m,,,,
juncus-holoschoenus,,,,,,,,,,,,,,,,,,,,,,,,,,,
juncus-kraussii,,,,,,,,,,,,,,,,,,,,,,,,,,,
juncus-novae-zelandiae,,,,,2-3mm,3mm,,,0.2-0.8mm,,,,,,,,,,,,,,,,,,
juncus-pallidus,,,,,2.3-3.0mm,2.8-3.6mm,,15mm,,,,,,,,,,,,,,,2m; 1-2m; 3-8mm,,,,
juncus-pauciflorus,,,,,2.5-3.0mm,2.5-3.5mm,,,,,,,,,,,,,,,,,,,,,
juncus-planifolius,,,,,1.5-2.0mm,,,,100mmx8mm,,,,,,,,,,,,,,,,,,
juncus-polyanthemus,,,,,,,,,,,,,,,,,,,,,,,,,,,
juncus-prismatocarpus,,,,,3-4mm,4.5-5.0x1.0-1.5mm,,,80-420x2-5mm,,,,,,,,,,,,,,,,,,
juncus-pusillus,,,,,1.5-2.0mm,,,,0.2mm,,,,,,,,,,,,,,,,,,
juncus-sarophorus,,,,,300mm; 2mm,1.5mm; 2mm,,,250mm,,,,,,,,,,,,,,1-2m; 2-3mm,,,,
juncus-scheuchzerioides,,,,,4mm,,,,10-200x0.5-1.0mm,,,,,,,,,,,,,,,,,,
juncus-usitatus,,,,,1.5-2.0mm,1.5-20mm,,,,,,,,,,,2mm,,,,,,0.5-1.2m; 1-1.5mm,,,,
juncus-vaginatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
luzula-banksiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
luzula-celata,,,,,2mm,,,,1-3cm; 0.5-1mm,,,,,,,,,,,,,,,,,,
luzula-crinita,,,,,,,,,,,,,,,,,,,,,,,,,,,
luzula-picta,,,,,,,,,,,,,,,,,,,,,,,,,,,
luzula-rufa,,,,,,,,,,,,,,,,,,,,,,,,,,,
luzula-ulophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
marsippospermum-gracile,,,,,,,,,,,,,,,,,,,,,,,,,,,
rostkovia-magellanicum,,,,,,,,,,,,,,,,,,,,,,,,,,,
triglochin-palustris,,,,,3mm,80-100x1mm,,25-260mm,50-500x0.5-1mm,,,,,,,6mm,,,,,,,,,,,
triglochin-striata,,,,,2mm,2-3mm,,10-200mm,10-400x0.3-2.0mm,,,,,,,1-3mm,,,,,,,,,,,
teucridium-parvifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitex-lucens,,,25-35mm,,,20-26mm,,,3m; 50-140x30-60mm,,,,,,,,,110mm,,,,,20m,,25mm,,
mentha-cunninghamii,,3-4mm,6mm,,,1.0-1.3mm,,,2-15x2-15mm,,,,,,,,,2-4mm,,,,,,,,,
plectranthus-parviflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,
scutellaria-novae-zelandiae,,2.5-3.5mm,6-11mm,,,1-1.3mm,,,3-13x2-16mm,,,,,,,1-3mm,,2-20mm,,,,,,,,4-6mm,
beilschmiedia-tarairi,,,,,3-5mm,30x16mm,,100mm,50-72x34-48mm,,,,,,,,,10mm,,,,,22m,,,,
beilschmiedia-tawa,,,,,2-4mm,30x12mm,,100mm,40-80x11-16mm,,,,,,,,,8mm,,,,,35m,,,,
cassytha-paniculata,,,,,,,,,,,,,,,,,,,,,,,,,,,
cassytha-pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
litsea-calicaris,,,,,4-5mm,15-22mm,,,50-130x30-60mm,,,,,,,,,15-30mm,,10-13mm,,0.8-2.6mm,18m,,,,
utricularia-australis,,,7-9mm,,,1.5-2mm,,170mm,30-40mm; 10mm,,,,,,,,,,,,,,,,,,
utricularia-delicatula,,,,,,,,,4-6mm,,,,,,,,,,,,,,2-3cm,,,,
utricularia-dichotoma,,,,,,,,,,,,,,,,,,,,,,,,,,,
linum-monogynum,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobelia-anceps,,,6-10mm,,,6-12mm,,,10-50x5-20mm; 10-60x1-5mm,,0.9-1.5mm; 5-8mm,,,,,,,10mm,,,,,400mm,,,,
lobelia-angulata,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobelia-arenaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobelia-carens,,,9.5mm; 6.0-8.0mm,,,2.4-3.5x2.0-2.8mm,,,2.5-7.2x1.5-6.0mm; 0.2mm,,1.2-1.5x0.4-0.8mm; 2.4-5.0x0.8-1.5mm; 0.3-0.7x0.4-1.0mm,,1.5-2.5x1.1-1.4mm,,,,,0.5-1.5x0.2-0.4mm,,0.4-0.5mm,,3.0-3.6x0.2-0.3mm,,,0.9-1.5mm; 4.3-5.5x0.2-0.4mm,2.5-4.5mm; 1.0-2.0mm,
lobelia-fatiscens,0.6-1.1mm; 0.2mm; 0.1mm,,5-6mm; 3.5-5.0mm,,,2.8-5.0x2.0-2.5mm,,,7.0-12.0x2.0-5.0mm,,1.1-1.7x0.2-0.5mm; 2.2-3.5x1.0-1.2mm; 0.3-0.4x0.4-0.5mm; 0.2mm,,1.9-2.7x1.0-1.2mm,,,,,1.0-1.5x0.4-0.7mm,,0.4-0.6mm,,3.0-3.6x0.2-0.3mm,,,0.1mm; 4.0-4.2mm; 0.2-0.3mm,1.5-3.0x1.0-1.5mm,
lobelia-fugax,0.4-0.5mm,,3.5mm; 1.2-2.5mm,,,2.3-2.9x1.6-2.2mm,,,3.0-6.0x3.0-4.0mm,,0.6-1.3x0.3-0.4mm; 0.9-1.3x0.5-0.7mm; 0.2-0.4x0.2-0.4mm; 0.1mm,,1.2-2.0x0.8-1.2mm,,,,,0.5-2.0x0.6-0.9mm,,0.4-0.5mm,,2.0-2.2x0.1-0.2mm,,,2.0-2.4x0.2-0.3mm,0.8mm,
lobelia-glaberrima,,,10.5mm; 6.0-12.0mm,,,3.2-6.0x3.1-5.3mm,,,2.5-7.0x2.5-8.5mm,,1.4-3.9x0.6-1.2mm; 2.3-4.5x1.7-1.9mm; 3.2-4.2x1.2-2.7mm,,1.8-2.9x2.4-2.6mm,,,,,0.5-2.0x0.6-0.8mm,,0.5-0.6x0.4-0.5mm,,2.3-4.2x0.2-0.4mm,,0.4-0.6mm,5.0-6.9x0.5mm; 1.3-2.2mm,3.2-6.0mm; 1.9-2.4mm,
lobelia-ionantha,1.2-1.6mm; 0.2-0.4mm; 0.2mm,,8.0-12.0mm,,,2.5-5.0x1.4-2.5mm,,,3.0-9.0x2.0-7.0mm; 0.2mm,,1.3-2.8x0.4-0.8mm; 4.0-6.0x1.2-2.4mm; 0.3-0.7x0.4-1.0mm,,1.5-2.5x1.1-1.4mm,,,,,0.5-1.5x0.2-0.5mm,,0.4-0.5mm,,4.0-7.5mm; 0.2-0.3mm,,,0.1mm; 5.0-8.0mm; 0.2-0.5mm,3.5-6.0mm; 1.0-2.0mm,
lobelia-linnaeoides,,4mm; 4mm,8-10mm,,8-12mm; 50-100mm,5-9x3-4mm,,,4-8x4-8mm,,2mm,,,,,,,,,,,,,,,,
lobelia-macrodon,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobelia-perpusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobelia-roughii,,5-7mm,,,10mm; 50mm,10-12mm,,,10-25x10-20mm,,8mm,,,,,,,5mm,,,,,,,,,
geniostoma-ligustrifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,
schizacme-ciliata,,,,,,,,,,,,,,,,,,,,,,,,,,,
schizacme-helmsii,,,,,,,,,,,,,,,,,,,,,,,,,,,
schizacme-novae-zelandiae,,,,,,2.2-3.4x1.9-2.5mm,,,2.8-4.5x0.5-0.9mm; 2.4-3.0x0.5-0.7mm,,1.1-2.1x0.4-1.0mm; 0.6-1.0x0.8-1.2mm,,,,,0.1mm,,,,0.6-0.7x0.4-0.5mm,,,,,0.4-0.5mm,0.4-0.6mm; 1.7-3.0mm,
alepis-flavida,,,,,,4-5mm,,,2-6cm,,,,,,,,,,,,,,2m,,,,
ileostylus-micranthus,,0.2mm,,,,5-8mm,,10-15mm,30-60x15-40mm,,,,,,,,3-4mmx0.8-1.6mm,5-50mm,,5.0-5.5mm,,,,,3.0-4.5mm,,
muellerina-celastroides,1.5mm,0.7-1mm,22-35mm,,3-6mm; 1.5-2mm,7-11mm,,,25-70x15-25mm; 3-8mm,,,,,,,,,,,,,8-13mm,,,,,
peraxilla-colensoi,,,,,60mm,,,,,,,,,,,,,,,,,,3m,,,,
peraxilla-tetrapetala,,,,,40mm,,,,,,,,,,,,,,,,,,2m,,,,
trilepidea-adamsii,,,,,30-40mm,8-9mm,,,50x30mm,,,,,,,,,2mm,,,,,1m,,,,
tupeia-antarctica,,,,,,7mm,,,40mm,,,,,,,,,,,,,,,,,,
entelea-arborescens,,,,,,20-35mm; 15-25mm,,,50-100-150x50-100-150mm,,,,5-10mm,,,10-40mm,10-30x10-30mm,80-300mm,,1.9-2.9mm,8-10-12mm,10-18mm,8m,,,,
hibiscus-diversifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,
hibiscus-richardsonii,,,,,,,,,10-60mm,,,,,,,,10mm,,,1.5-2mm,,,1m,,,,
hoheria-angustifolia,,3.0-4.2mm,,,,,,,4.0x4.0-7.5mm; 20-48x5-10mm,,,,,,,10-12mm,7mm,1.0-2.3mm; 4.8-5.3mm,,2.5-3.5mm,,,18m,,,,
hoheria-equitum,,,,,10-23mm,,,,35-150x15-95mm,,2x2mm,,1.8x1.5mm,,,10-20mm,,10-30mm; 3.5x0.5mm,,4.0-4.8mm,,,8m,0.5mm,,,
hoheria-glabrata,0.7-0.8mm,3.7-6.0mm; 7.0-9.2mm,,,,,,,13-50x15-30mm; 36-180x25-80mm,,2.2-4.1x2.8-3.4mm,,0.8-2.0mm; 0.8-2.0mm,,,12-25mm,12.8-20.5x11.7-15.5mm,20-55mm; 25-85mm,,3.8-4.8x3.5-4.1mm; 2.9-4.5x1.9-3.2mm; 0.5mm,,8.5-13.5mm,10m,0.3-0.4mm,8.7-10.6mm,,
hoheria-lyallii,0.6-0.8mm,3.6-6.2mm; 7.0-9.5mm,,,,,,,13-40x15-40mm; 33-156x22-89mm,,3.5-5.8x3.5-5.1mm,,0.8-2.0mm; 0.8-2.0mm,,,12-25mm,15.7-20.0x11.6-15.0mm,15-52mm; 10-43mm,,4.7-6.2x3.5-5.3mm; 2.2-3.4x2.2-2.8mm; 0.4mm,,8.4-10.8mm,8m,0.3-0.4mm,8.4-10.0mm,,
hoheria-ovata,,4.2-5.8mm,,,20-30mm,,,,10-50x10-30mm; 50-80x20-40mm,,,,,,,40mm,15mm,10mm,,4.3-6.0mm,,,6m,,,,
hoheria-populnea,,5-6mm,,,25-30mm,,,,10mm; 7mmx40mm,,,,,,,8-10mm,10-12mm,10mm; 20mm,,4.5-6.5mm,,,8m,,,,
hoheria-sexstylosa,,6.0mm,,,18-20mm,,,,15x15mm; 150x50mm,,,,,,,20-30mm,10-15mm,5.0mm; 5-10mm,,4.5-6.5mm,,,18m,,,,
plagianthus-divaricatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
plagianthus-regius,,,,,,,,,,,,,,,,,,,,,,,,,,,
dysoxylum-spectabile,,,,,30mm,25mm,,,,,,,,,,,10mm,40mm; 150x30mm,,,,,15m,,,,
carpobrotus-glaucescens,,,,,40-60mm,20-30mm,,,30-100x8-15mm,,,,,,,10-30mm,,,,,,,,,,,
hectorella-caespitosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
streblus-banksii,,,,,30mm; 25mm,65mm,,,20-60x10-30mm; 35-85x20-35mm,,,,,,,,,8mm; 10mm,,,,,12m,,,,
streblus-heterophyllus,,,,,,,,,,,,,,,,,,,,,,,,,,,
myoporum-laetum,,2mm,,,,6-9mm,,,100-120x30-40mm,,,,,,,,,300mm,,,,,10m; 2-4m,,,,
myoporum-rapense,,,,,,,,,,,,,,,,,,,,,,,,,,,
kunzea-amathicola,0.40-0.60x0.20-0.35mm,,,,6.8-12.5mm,2.4-4.8x3.6-6.0mm,,200mm,2.4-5.3x1.2-2.3mm; 6.0-12.5x1.8-3.8mm; 0.6mm; 2.0-5.3x1.2-2.3mm; 4.1-6.0x1.6-3.1mm,,0.6-1.4x0.6-1.8mm,,,,,1.3-4.9mm,1.8-3.7x2.0-4.0mm,,,1.2-1.7x0.3-0.6mm,,,15m; 2x3m; 18x8m,,2.0-3.2mm,,
kunzea-ericoides,0.35-0.48x0.16-0.24mm,,,,4.1-8.3mm,1.9-3.4x1.8-3.9mm,,60mm,4.0-25.0x0.5-1.8mm; 3.0-7.8x0.9-1.4mm,,0.4-1.0x0.4-1.0mm,,,,,1.6-3.8mm,1.4-2.6x1.5-2.0mm,,,1.00-1.05x0.32-0.50mm,,,18m,,1.5-2.2mm,,
kunzea-linearis,0.04-0.06x0.02-0.04mm,,,,20mm; 1.9-5.7mm,1.6-2.9x2.3-4.1mm,,20-80mm; 180mm,9.3-19.5x0.3-1.2mm; 6.0-12.8x0.9-2.2mm,,1.0-1.6x0.2-0.6mm,,,,,1.2mm,0.9-2.0x0.7-1.9mm,,,0.50-1.10x0.48-0.70mm,,,12m,,0.8-2.0mm,,
kunzea-robusta,0.38-0.63x0.18-0.32mm,,,,4.3-12.0mm,2.2-4.6x3.2-5.3mm,,60mm,14.6-28.4x1.6-2.5mm; 4.9-20.1x0.9-3.0mm,,0.52-1.1x0.60-1.4mm,,,,,1.2-5.2mm,1.5-3.8x1.3-3.6mm,,,0.9-1.1x0.35-0.48mm,,,8-30m,,2.0-3.5mm,,
kunzea-salterae,0.11-0.16x0.10-0.14mm,,,,9-12mm,2.0-2.7x2.0-4.0mm,,45mm,4-18x0.6-2.0mm; 0.5mm,,0.6-0.9x1.1-1.3mm,,,,,1.1-3.0mm,1.4-1.6x1.4-1.6mm,,,0.80-1.00x0.45-0.48mm,,,0.1-10x2-6m,,2.1-3.2mm,,
kunzea-serotina,0.04-0.06x0.02-0.04mm,,,,2.8-8.8mm,1.2-3.0x1.2-3.4mm,,25mm; 15mm,0.8-7.8x0.6-1.2mm; 2.0-6.3x0.8-1.8mm,,0.8-1.2x0.7-1.2mm,,,,,,1.4-2.0x1.2-2.0mm,,,0.60-1.00x0.48-0.60mm,,,3-20x2-4m,,0.6-1.2mm,,
kunzea-sinclairii,0.06-0.1x0.06-0.09mm,,,,2.3-4.9x2.1-4.2mm; 5.7-10.2mm,2.2-3.6x2.7-3.9mm,,7.0-20.0mm,1.6mm; 25.0x3.5mm; 5.6-20.6x2.0-4.5mm,,1.1-1.6x0.9-1.8mm,,,,,2.8-7.3mm,2.0-3.6x2.1-3.3mm,,,0.52-1.09x0.38-0.72mm,,,3x1m; 6m,,1.8-3.0mm,,
kunzea-tenuicaulis,0.04-0.08x0.02-0.04mm,,,,3.3-9.0mm,1.0-3.3x1.6-3.2mm,,25mm,0.9-4.5x0.2-0.6mm; 1.1-10.0x0.8-2.8mm,,0.4-0.8x0.4-1.0mm,,,,,1.0-2.4mm,1.4-2.0x1.4-2.0mm,,,0.80-1.00x0.45-0.50mm,,,0.1-8.0x2.0-8.0m; 0.1-0.6m,,2.0-3.6mm,,
kunzea-triregensis,0.05-0.10x0.06-0.08mm,,,,6.3-12.3mm,1.9-5.2x2.0-4.9mm,,200mm,6.0-13.5x1.1-2.3mm; 0.6mm,,0.5-1.3x0.3-0.8mm,,,,,0.4-3.7mm,1.3-4.3x1.9-4.8mm,,,0.50-1.10x0.50-0.80mm,,,18x3m,,1.9-3.1mm,,
leptospermum-scoparium,,,,,,,,,,,,,,,,,,,,,,,,,,,
lophomyrtus-bullata,,,,,12-14mm; 12-14mm,6-8mm,,,15-30x10-15mm,,1.5-2.2mm,,,,,,8-10x6-9mm,2-5mm,,2.7-5.5mm,,8-12mm,6m,,10-12mm,,
lophomyrtus-obcordata,,,,,6-8mm; 10-14mm,6-7mm,,,5-12x5-10mm,,1.0-1.8mm,,,,,,6-8x5-8mm,0.7-1.0mm,,2.0-4.3mm,,6-8mm,6m,,6-8mm,,
metrosideros-albiflora,,,,,,5-10mm,,,10-20x10-20mm; 35-90x20-46mm,,1.8-2.2mm,,,,,,5x5mm,2-6mm,,1.2-2.4mm,,15-30mm,,,20-35mm,,
metrosideros-bartlettii,,,,,,2.0-2.5x2.5-3.0mm; 1.5-2.5mm,,,,,,,,,,3x1mm,2.5-3.0x1.8-0mm,4-5x1mm; 30-50x15-26mm,,2.3-3.0mm,1.0-1.5x1.0-1.5mm,5-9mm,30m; 1.5m,,10-11mm,,
metrosideros-carminea,,,,,,6-9mm,,,10-20x8-18mm; 15-35x7-30mm,,1.8-2.3mm,,,,,20-60mm; 5-10mm,5x4mm,1-3mm,,,,10-15mm,,,,,
metrosideros-colensoi,,,,,,4-6mm,,,4-10x2-8mm; 8-20x5-20mm,,1.5-2.0mm,,,,,10-30mm; 3mm,1.5-2.2x1.5-2.2mm,1-3mm,,0.6-1.1mm,,8-12mm,10m,,10-14mm,,
metrosideros-diffusa,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrosideros-excelsa,,,,,,,,,25-120x25-60mm,,,,,,,,,,,,,,20m; 10-50m,,,,
metrosideros-fulgens,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrosideros-parkinsonii,,,,,,6-8mm; 5x5mm,,,25-75x15-30mm,,,,,,,,,2.2-3.0mm,,1.2-2.0mm,,20-28mm,10m,,23-30mm,,
metrosideros-perforata,,,,,,4-5mm,,,6-12x5-9mm,,,,,,,5-10mm,1.5-3.0x1.5-2.8mm,1.0-3.2mm,,,,8-10mm,,,,,
metrosideros-robusta,,,,,,6-9mm,,,,,,,,,,5-8mm,2x3mm,,,2.5-5.5mm,,30-40mm,25-40m,,,,
metrosideros-umbellata,,,,,,,,,,,,,,,,,,,,,,,,,,,
neomyrtus-pedunculata,,,,,10-15mm,6-8mm,,,6-15x4-10mm,,,,,,,,5-8x6-9mm,3-6mm,,1.5-2.5mm,,5-9mm,8m,,8-10mm,,
syzygium-maire,,,,,,10-15mm,,100mm,15-60x10-25mm,,,,,,,,2-3mm,5-10mm,,6-11mm,,5-12mm; 4.5-17.5mm,16m,,5-18mm,,
dactylanthus-taylorii,,,,,,1.5-1.8mm; 1.3-1.5mm,,20-40mm,5-20x5-9mm; 30x15mm,,,,,,,,,,,,,0.2-0.45mm,,,,,
mida-salicifolia,,,,,,7-12x6-8mm,,,100x20-30mm,,,,,,,5mm,,,,,,,6m,,,,
montia-angustifolia,0.8-1x0.6-0.7mm,,,,8-12mm,2-2.2x2.2-2.3mm,,,30x1.8mm,,,,0.6-0.7x0.6-0.7mm,,,,4-6x2-3.5mm,,,1.2-1.4x1.1-1.2mm,,2-2.5mm,40cm,,1-1.3mm,,
montia-drucei,0.3-0.4x0.2mm,,,,4.8-6.2mm,1.5-2x1-1.5mm,,,15x1mm; 1-3mm,,,,0.6-0.8x0.8-0.9mm,,,,2-3.6x1.5-2.5mm,,,1-1.5x0.9-1.2mm,,1.5-2.5mm,50mm,,0.9-1.2mm,,
montia-erythrophylla,0.7-0.8x0.3-0.4mm,,,,9.5-14mm,,,,35x3.2mm; 3.0-3.5x3.2-3.5mm,,,,0.9-1.2x0.8-1mm,,,,4.8-7.9x2.3-4.6mm,,,1.4-1.7x1.2-1.6mm,,2.8-3.8mm,200mm,,2.4-3.1mm,,
montia-fontana,,,,,,,,,,,,,,,,,,,,,,,,,,,
montia-sessiliflora,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuscospora-cliffortioides,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuscospora-fusca,3mm,,,,5mm,7mm,,3mm,20-40x15-25mm,,,,,,,,,4mm,,,,,30m,,,,
fuscospora-solandri,2-3mm,,,,2x3mm,7mm,,,10-15x5-10mm,,,,,,,,,1-2mm,,,,,25m,,,,
fuscospora-truncata,,,,,,,,,,,,,,,,,,,,,,,,,,,
